algorithm,alpha,n,total_slots,avg_cell_accesses_per_insert,sampled_inserts
cuckoo,0.0500,3276,65536,2.091770,100000
robinhood,0.0500,3276,65536,1.003530,100000
cuckoo,0.1000,6553,65536,2.177060,100000
robinhood,0.1000,6553,65536,1.007160,100000
cuckoo,0.1500,9830,65536,2.260500,100000
robinhood,0.1500,9830,65536,1.012030,100000
cuckoo,0.2000,13107,65536,2.363560,100000
robinhood,0.2000,13107,65536,1.018040,100000
cuckoo,0.2500,16384,65536,2.472520,100000
robinhood,0.2500,16384,65536,1.024180,100000
cuckoo,0.3000,19660,65536,2.625590,100000
robinhood,0.3000,19660,65536,1.031660,100000
cuckoo,0.3500,22937,65536,2.817510,100000
robinhood,0.3500,22937,65536,1.041050,100000
cuckoo,0.4000,26214,65536,3.133970,100000
robinhood,0.4000,26214,65536,1.055750,100000
cuckoo,0.4500,29493,65536,2.413290,100000
robinhood,0.4500,29491,65536,1.071690,100000
