command,return_code,aggregate,run_index,runs_aggregated,algorithm,log2_n,input_file,initial_keys_loaded,benchmark_cycles,configured_table_size_per_table,configured_max_loop_count,configured_target_total_slots,random_values_consumed,duplicate_candidate_values_skipped,successful_lookups_executed,unsuccessful_lookups_executed,deletions_executed,insertions_executed,remaining_active_keys,elapsed_time_seconds,operations_per_second,successful_lookup_ops,successful_lookup_seconds,successful_lookup_ns_per_op,successful_lookup_cycles_per_op,unsuccessful_lookup_ops,unsuccessful_lookup_seconds,unsuccessful_lookup_ns_per_op,unsuccessful_lookup_cycles_per_op,delete_ops,delete_seconds,delete_ns_per_op,delete_cycles_per_op,insert_ops,insert_seconds,insert_ns_per_op,insert_cycles_per_op,active_keys,occupied_slots_t1,occupied_slots_t2,load_factor,insert_attempts,successful_insertions,duplicate_insertions_ignored,failed_insertions,rehash_attempts,insertions_since_last_rehash,key_displacements,robinhood_swaps,robinhood_probes,maximum_probe_distance,stderr,delete_dropped_ops,delete_filtered_ops,insert_dropped_ops,insert_filtered_ops,successful_lookup_dropped_ops,successful_lookup_filtered_ops,unsuccessful_lookup_dropped_ops,unsuccessful_lookup_filtered_ops
./benchmark_cuckoo_robin DiehardCDROM-master/CD-ROM/ 256 768 1024 64 100000 both 5000,0,mean,-1,2,cuckoo,8.0,DiehardCDROM-master/CD-ROM/,256,768,1024,64,1024,3586,0,768,768,768,1024,256,0.0007,4780360.42,768,9.5e-05,123.59,46.445,768,9.6e-05,124.47,47.88,768,0.0001025,133.025,47.885000000000005,1024,0.000112,109.61,97.77000000000001,256,167,89,,1024,1024,0,0,0,1024,419,,,,,1,767,0,768,0,768,0,768
./benchmark_cuckoo_robin DiehardCDROM-master/CD-ROM/ 256 768 1024 64 100000 both 5000,0,mean,-1,2,robinhood,8.0,DiehardCDROM-master/CD-ROM/,256,768,1024,64,1024,3586,0,768,768,768,1024,256,0.0006185,5379728.880000001,768,8.55e-05,111.02,35.144999999999996,768,9.05e-05,118.33500000000001,50.18,768,9.549999999999999e-05,124.68,57.68000000000001,1024,0.000101,98.965,80.38,256,,,0.25,1024,1024,0,0,,,,71,5399,3,,0,768,0,768,0,768,0,768
./benchmark_cuckoo_robin DiehardCDROM-master/CD-ROM/ 512 1536 2048 64 100000 both 5000,0,mean,-1,2,cuckoo,9.0,DiehardCDROM-master/CD-ROM/,512,1536,2048,64,2048,7142,0,1536,1536,1536,2048,512,0.0006325,10520326.395,1536,9.7e-05,62.974999999999994,26.105,1536,8.5e-05,55.305,24.615000000000002,1536,8.65e-05,56.37,27.14,2048,0.00010449999999999999,51.14,50.5,512,345,167,,2048,2048,0,0,0,2048,886,,,,,0,1536,0,1536,0,1536,0,1536
./benchmark_cuckoo_robin DiehardCDROM-master/CD-ROM/ 512 1536 2048 64 100000 both 5000,0,mean,-1,2,robinhood,9.0,DiehardCDROM-master/CD-ROM/,512,1536,2048,64,2048,7142,0,1536,1536,1536,2048,512,0.000624,10664404.96,1536,8.5e-05,55.395,26.145000000000003,1536,8.850000000000001e-05,57.6,30.700000000000003,1536,9.400000000000001e-05,61.245,38.09,2048,0.000101,49.36,48.545,512,,,0.25,2048,2048,0,0,,,,138,10760,4,,0,1536,0,1536,0,1536,0,1536
./benchmark_cuckoo_robin DiehardCDROM-master/CD-ROM/ 1024 3072 4096 64 100000 both 5000,0,mean,-1,2,cuckoo,10.0,DiehardCDROM-master/CD-ROM/,1024,3072,4096,64,4096,14456,0,3072,3072,3072,4096,1024,0.001681,8669846.85,3072,0.000231,75.215,38.635000000000005,3072,0.000227,74.015,35.81,3072,0.000234,76.285,40.895,4096,0.000273,66.58,69.64,1024,714,310,,4096,4096,0,0,0,4096,1744,,,,,0,3072,0,3072,0,3072,0,3072
./benchmark_cuckoo_robin DiehardCDROM-master/CD-ROM/ 1024 3072 4096 64 100000 both 5000,0,mean,-1,2,robinhood,10.0,DiehardCDROM-master/CD-ROM/,1024,3072,4096,64,4096,14456,0,3072,3072,3072,4096,1024,0.0017125,8421146.675,3072,0.0002325,75.805,39.125,3072,0.00024200000000000003,78.69,45.89,3072,0.000256,83.27,53.955,4096,0.000282,68.845,69.0,1024,,,0.25,4096,4096,0,0,,,,322,21856,4,,0,3072,0,3072,0,3072,0,3072
./benchmark_cuckoo_robin DiehardCDROM-master/CD-ROM/ 2048 6144 8192 64 100000 both 5000,0,mean,-1,2,cuckoo,11.0,DiehardCDROM-master/CD-ROM/,2048,6144,8192,64,8192,28834,0,6144,6144,6144,8192,2048,0.0041205,6494586.03,6144,0.0005735,93.325,32.245000000000005,6144,0.00056,91.155,26.31,6144,0.0005815,94.67500000000001,33.58,8192,0.000673,82.18,65.16,2048,1408,640,,8192,8192,0,0,0,8192,3369,,,,,0,6144,0,6144,0,6144,0,6144
./benchmark_cuckoo_robin DiehardCDROM-master/CD-ROM/ 2048 6144 8192 64 100000 both 5000,0,mean,-1,2,robinhood,11.0,DiehardCDROM-master/CD-ROM/,2048,6144,8192,64,8192,28834,0,6144,6144,6144,8192,2048,0.0031585,8717047.280000001,6144,0.0004365,71.07,9.755,6144,0.000454,73.96000000000001,15.295000000000002,6144,0.00047400000000000003,77.16,22.365000000000002,8192,0.000509,62.145,34.09,2048,,,0.25,8192,8192,0,0,,,,641,43722,4,,1,6143,0,6144,0,6144,2,6142
./benchmark_cuckoo_robin DiehardCDROM-master/CD-ROM/ 4096 12288 16384 64 100000 both 5000,0,mean,-1,2,cuckoo,12.0,DiehardCDROM-master/CD-ROM/,4096,12288,16384,64,16384,57368,0,12288,12288,12288,16384,4096,0.005416,9924081.775,12288,0.00076,61.864999999999995,24.965,12288,0.0007425,60.425,21.54,12288,0.0007620000000000001,61.995000000000005,25.810000000000002,16384,0.000876,53.465,47.4,4096,2782,1314,,16384,16384,0,0,0,16384,6866,,,,,0,12288,1,12287,2,12286,0,12288
./benchmark_cuckoo_robin DiehardCDROM-master/CD-ROM/ 4096 12288 16384 64 100000 both 5000,0,mean,-1,2,robinhood,12.0,DiehardCDROM-master/CD-ROM/,4096,12288,16384,64,16384,57368,0,12288,12288,12288,16384,4096,0.0050395,10567425.295,12288,0.0006965,56.675,19.48,12288,0.000712,57.95,23.785,12288,0.0007565,61.565,29.79,16384,0.0008015,48.94,38.945,4096,,,0.25,16384,16384,0,0,,,,1116,87043,4,,0,12288,0,12288,1,12287,0,12288
